NPDES # CA#,ORDER #,WDID,FACILITY NAME,population_cwns,population_cwns_2042,population_sso,epaid,population_covid,source,Population Served,population_growth_rate
,95-036,6B140104001,Lone Pine WWTF,,,2000,,,SSO,2000,
,85-038,6B361105001,Los Ranchos MHP,104,158,,,,CWNS,104,2.11
,91-022,6B260103001,Mammoth CWD STP,1043,1064,,,,CWNS,1043,0.1
,95-022,6A020008000,Markleeville Wstwtr Trtmnt Sys,11569,13012,,,,CWNS,11569,0.59
,01-036,6B150111001,Mojave STP,1170,822,,,,CWNS,1170,-1.75
,86-011,6B368054001,Mountain View Villas,,,,,,No data,,
,96-053,6B140802001,Owens Valley Conser Camp WTF,,,,,,No data,,
,R6V-2011-0012,6B190107069,Palmdale Water Reclamation Plant,,,346297,,,SSO,346297,
,84-031,6B151025001,Park Knolls Subdivision,,,,,,No data,,
,00-072,6B360811001,Pilot Rock Cons Camp Pack WTF,,,,,,No data,,
,00-056,6B150116001,Ridgecrest WTF,6895,7738,28973,,,CWNS+SSO,6895,0.58
,87-010,6B141013001,Rolling Green Terrace WTF,6895,7738,,,,CWNS,6895,0.58
,R6V-2019-0251,6B150112001,Rosamond WTF (Ponds),104,158,20000,,,CWNS+SSO,104,2.11
,86-111,6B142000002,Rovana Housing Package STP,1043,1064,,,,CWNS,1043,0.1
,R6V-2014-0002,6B360911001,SCLA Central WWTP-Victorville Water Dist,,,,,,No data,,
,R6T-2011-0061,6A021008003,STPUD Wastewater Treatment Plant,104,158,,,,CWNS,104,2.11
,R6T-2006-0020,6A180506011,Spalding Tract Sewer System,1043,1064,,,,CWNS,1043,0.1
,R6T-2014-0048,6A188812008,Stones-Bengard Sewage Treatment Ponds,,,,,,No data,,
,02-030,6A290011000,Tahoe Truckee Sanitation Agency,,,73055,,,SSO,73055,
,94-059,6B360115010,Trona & Pioneer Point WTF,436,488,2267,,,CWNS+SSO,436,0.56
,R6V-2013-0004,6B360907006,VVWRA Sub-Regional Plant-Apple Valley,104,158,,,,CWNS,104,2.11
,R6V-2013-0005,6B360907005,VVWRA- Sub-Regional Plant-Hesperia,1043,1064,,,,CWNS,1043,0.1
,02-021,6B158090004,Willow Springs MHP,104,158,,,,CWNS,104,2.11
,95-021,6A020013000,Woodfords Indian Colony WTDF,1043,1064,,,,CWNS,1043,0.1
,R7-2022-0008,7A330109012,Alan Horton WWTP,,,32620,,,SSO,32620,
,R7-2021-0023,7A360100011,BB Reg WWA-Lucerne Vly,,,62500,,,SSO,62500,
,R7-2016-0015,7A330100015,Banning STP-Non NPDES,,,,,,No data,,
,R7-2011-0056,7B360111001,Big River Elementary School,,,,,,No data,,
,R7-2008-0017,7A131013001,Blu-In RV Park,,,,,,No data,,
,R7-2016-0013,7B330102012,Blythe Regional WW Reclamation Facilities,104,158,,,,CWNS,104,2.11
,R7-2013-0024,7A330105021,Bombay Beach STP,1043,1064,,,,CWNS,1043,0.1
,R7-2019-0015,7A370125001,Borrego WD-Ram's Hill,,,,,,No data,,
,R7-2022-0009,7A330105071,CVWD Improv Dist #58,,,,,,No data,,
,R7-2013-0038,7A130802001,Calipatria State Prison,,,,,,No data,,
,R7-2013-0033,7B330809001,Chuckawalla Corr Fac,,,2600,,,SSO,2600,
,R7-2007-0009,7A361032001,Church Street WWTP,9000,9000,,,,CWNS,9000,0
,97-500,7A361040011,Copper Mountain College,,,,,,No data,,
,R7-2014-0048,7A330109021,Desert Crest WWTP,,,1710,,,SSO,1710,
,R7-2006-0057,7A361022001,Desert Knoll Inc.,,,,,,No data,,
,97-500,7B361345001,Desert Riviera MH&RV 97-50070,,,,,,No data,,
,R7-2007-0008,7A361016001,Desert Vista Village Wastewater Treatment and Disposal Systems,104,158,,,,CWNS,104,2.11
,R7-2015-0010,7A131043011,Fountain of Youth Spa,1043,1064,,,,CWNS,1043,0.1
,97-500,7A360118001,Joshua Tree Elementary School,21316,26370,,,,CWNS,21316,1.07
,R7-2014-0031,7A330118022,Lake Tamarisk WTP,,,400,,,SSO,400,
,R7-2015-0050,7A130136001,McCabe Municipal Wastewater Treatment Plant,7830,7830,,,,CWNS,7830,0
,R7-2013-0020,7A370126001,Mccain Vly Consv CMP,,,,,,No data,,
,R7-2020-0011,7A330104002,Nancy Wright Regional Water Reclamation Facility,,,,,,No data,,
,R7-2015-0018,7B360110014,Needles WWTP,,,,,,No data,,
,R7-2013-0025,7A330105032,North Shore WRP,,,,,,No data,,
,R7-2018-0001,7A330105012,Palm Desert WRP #10,,,,,,No data,,
,R7-2017-0013,7A330114012,Palm Springs WWTF,,,,,,No data,,
,R7-2016-0017,7B360115051,Park Moabi WWTF,,,,,,No data,,
,R7-2023-0015,7A131006001,Poe Colonia (Cady Subdivision),104,158,,,,CWNS,104,2.11
,R7-2017-0020,7B330118001,Ripley WTP 03-012,1043,1064,,,,CWNS,1043,0.1
,R7-2014-0007,7A130110031,SCSD Desert Shores WWTP,104,158,,,,CWNS,104,2.11
,R7-2018-0013,7A130117001,SCSD Thomas R. Cannell WWTP,1043,1064,4745,,,CWNS+SSO,1043,0.1
,2014-0153-DWQ,7A360125001,Sage Estates,,,,,,No data,,
,R7-2015-0039,7B131050011,Salamander Mobile Park 95-019,,,,,,No data,,
,R7-2006-0036,7A361031011,Turtle Rock 29 HOA,,,,,,No data,,
,R7-2016-0023,7A331000011,Valley View Trailer Park,104,158,,,,CWNS,104,2.11
,R8-2013-0014,8 303598001,Anaheim Water Recycling Demonstration Project,1043,1064,,,,CWNS,1043,0.1
,R8-2005-0044,8 360108001,Big Bear WWRF,,,,,,No data,,
,95-024,8 360800001,CIM WWTP,,,,,,No data,,
,R8-2011-0015,8 332181001,Corona WWRF #2,,,,,,No data,,
,98-031,8 332196001,Creekside MHP WWTP,104,158,,,,CWNS,104,2.11
,96-063,8 330112003,EVMWD Horsethief Canyon WWTP,1043,1064,,,,CWNS,1043,0.1
,96-034,8 332122003,EVMWD Railroad Canyon WWRF,,,,,,No data,,
,R8-2015-0023,8 303652001,El Toro Water Dist WWRF,104,158,,,,CWNS,104,2.11
,97-079,8 331058001,Farm MWC WWTP,1043,1064,,,,CWNS,1043,0.1
,R8-2015-0028,8 330105001,Idyllwild WD WWTP,,,,,,No data,,
,98-084,8 330139001,Lake Hemet MWD WWTP,104,158,,,,CWNS,104,2.11
,R8-2007-0004,8 362899001,Lytle Creek North WWTP,1043,1064,,,,CWNS,1043,0.1
,95-032,8 362200001,Lytle Creek WWTP,995,995,,,,CWNS,995,0
,R8-2008-0008,8 332783001,Moreno Valley RWRF,2381,2381,,,,CWNS,2381,0
,R8-2008-0008,8 332783001,Perris Valley RWRF,53150,69120,,,,CWNS,53150,1.32
,98-006,8 331003001,Rancho Caballero WWTP,,,,,,No data,,
,98-054,8 360111001,Redlands WWRF,,,,,,No data,,
,87-008,8 360113001,Running Springs WWTP,,,1396,,,SSO,1396,
,R8-2008-0008,8 332783001,San Jacinto Valley RWRF,104,158,,,,CWNS,104,2.11
,R8-2008-0008,8 332783001,Sun City RWRF,1043,1064,,,,CWNS,1043,0.1
,R8-2003-0113,8 330700001,Western Water Recycling Facility,,,,,,No data,,
,97-067,8 331458001,Woodcrest Elementary School,,,,,,No data,,
,R9-2003-0007,9 000000371,4-S Ranch WRF,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,9 000000238,Barrett Lake Mobile Home Park,1043,1064,,,,CWNS,1043,0.1
,R9-2016-0183,9 000000929,Carlsbad WRF,,,,,,No data,,
,R9-2020-0108,9 000003742,Civita Water Reclamation Facility,104,158,,,,CWNS,104,2.11
,R9-2019-0005W10,,Dana Hills High School,1043,1064,,,,CWNS,1043,0.1
,R9-1993-0005,9 000000257,Fairbanks Ranch WPCF,,,,,,No data,,
,R9-2004-0223,9 000000206,Gafner Water Reclamation Facility,104,158,,,,CWNS,104,2.11
,R9-2010-0032,9 000000592,Hale Avenue Resource Recovery Facility (HARRF) Recycled Water,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,9 000001319,Hanson Elementary School OWTS,,,,,,No data,,
,R9-2012-0054,9 0000002490,Harmony Grove Water Reclamation Plant,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,9 000000191,Heavenly Oaks Residential Community,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,9 000000107,Hideaway Lake M.E. S.T.P. OWTS,22773,27080,,,,CWNS,22773,0.87
,2014-0153-DWQ,9 000000073,Joplin Youth Center,,,,,,No data,,
,2014-0153-DWQ,9 000000109,Julian Water Pollution Facility,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,9 000000032,La Cima Conservation Camp OWTS,1043,1064,,,,CWNS,1043,0.1
,95-032,9 000000236,Lower Moosa Canyon Recl Facil,,,,,,No data,,
,R9-2007-0018,9 000000247,Meadowlark WRF,104,158,,,,CWNS,104,2.11
,,,Mussey Grade Village Park,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,9 000003655,"Oak Crest Mobile Estates, Inc",,,,,,No data,,
,2014-0153-DWQ,9 000000036,Oak Tree Ranch Private Residential Community OWTS,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,9 000000145,Pauma Valley Treatment Plant,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,9 000000099,Pine Valley WW Polltn Cntl Fac (Pine Valley Sanitation District) OWTS,,,,,,No data,,
,2014-0153-DWQ,9 000000033,Puerta La Cruz Conservation Camp,40026,47217,,,,CWNS,40026,0.83
,2014-0153-DWQ,9 000000533,Rainbow Conservation Camp,,,,,,No data,,
,R9-2007-0038,9 000000217,Ralph W Chapman WRF,,,,,,No data,,
,2014-0153-DWQ,9 000000123,Rancho Del Campo WPCF OWTS,,,,,,No data,,
,R9-1992-0004,9 000000177,Rancho Santa Fe San Dist Plant,,,,,,No data,,
,97-052,9 000000541,SMWD-Nichols Reseach Inst WRF,23400,27881,,,,CWNS,23400,0.88
,R9-2000-0010,9 000000571,San Elijo Water Campus,,,,,,No data,,
,93-007,9 000000351,San Luis Rey Water Reclamation Facility - Recycled Water and Pure Water,,,,,,No data,,
,R9-2009-0005,9 000000076,San Vicente Wastewater Treatment Plant,104,158,10395,,,CWNS+SSO,104,2.11
,R9-2002-0013,9 000000899,Santa Fe Valley WTP,1043,1064,,,,CWNS,1043,0.1
,R9-2016-0154,9 000000077,Santa Maria WWTP,,,21468,,,SSO,21468,
,94-092,9 000000564,Santa Rosa WRF-Recycled WTR,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,9 000000223,Skyline Ranch Country Club,1043,1064,,,,CWNS,1043,0.1
,97-052,9 000000541,TCWD - Crystal Canyon WRP (Formerly Goren WWTP),,,,,,No data,,
,97-052,9 000000541,TCWD Robinson Ranch WRF,,,,,,No data,,
,R8-2008-0008,8 332783001,Temecula Valley RWRF,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,9 000000176,Warner Springs Mobile Estates,1043,1064,,,,CWNS,1043,0.1
,R9-1994-0080,9 000000157,Whispering Palms WPCF,,,,,,No data,,
,R9-2015-0104,9 000000830,Woods Valley Ranch Water Reclamation Facility,,,,,,No data,,
